frame_index,time_seconds,fish_name,x_cm,y_cm,z_cm
4,0.02857142857142857,fish2,26.05,21.37,1.45
5,0.03571428571428571,fish2,25.98,21.38,1.43
6,0.04285714285714286,fish2,25.89,21.4,1.4
7,0.05,fish2,25.79,21.42,1.37
8,0.05714285714285714,fish2,25.71,21.44,1.34
9,0.06428571428571428,fish2,25.63,21.47,1.31
10,0.07142857142857142,fish2,25.58,21.49,1.29
11,0.07857142857142857,fish2,25.57,21.5,1.28
12,0.08571428571428572,fish2,25.58,21.48,1.29
13,0.09285714285714286,fish2,25.61,21.48,1.3
14,0.1,fish2,25.62,21.49,1.31
15,0.10714285714285714,fish2,25.68,21.52,1.32
16,0.11428571428571428,fish2,25.68,21.58,1.32
17,0.12142857142857143,fish2,25.61,21.65,1.31
18,0.12857142857142856,fish2,25.52,21.72,1.29
19,0.1357142857142857,fish2,25.39,21.79,1.26
20,0.14285714285714285,fish2,25.32,21.87,1.24
21,0.15,fish2,25.29,21.96,1.24
22,0.15714285714285714,fish2,25.34,22.09,1.26
23,0.16428571428571428,fish2,25.43,22.2,1.28
24,0.17142857142857143,fish2,25.45,22.29,1.29
25,0.17857142857142858,fish2,25.41,22.37,1.28
26,0.18571428571428572,fish2,25.33,22.42,1.26
27,0.19285714285714287,fish2,25.23,22.47,1.23
28,0.2,fish2,25.19,22.53,1.22
29,0.20714285714285716,fish2,25.18,22.6,1.21
30,0.21428571428571427,fish2,25.21,22.7,1.23
31,0.22142857142857142,fish2,25.23,22.8,1.22
32,0.22857142857142856,fish2,25.24,22.87,1.24
33,0.2357142857142857,fish2,25.22,22.95,1.24
34,0.24285714285714285,fish2,25.19,23.01,1.26
35,0.25,fish2,25.15,23.08,1.27
36,0.2571428571428571,fish2,25.12,23.16,1.27
37,0.2642857142857143,fish2,25.1,23.24,1.26
38,0.2714285714285714,fish2,25.09,23.33,1.24
39,0.2785714285714286,fish2,25.1,23.43,1.22
40,0.2857142857142857,fish2,25.09,23.52,1.22
41,0.29285714285714287,fish2,25.07,23.62,1.19
42,0.3,fish2,25.04,23.7,1.2
43,0.30714285714285716,fish2,25.01,23.78,1.2
